Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case2(1),0,1,1,6.00E+07,0.176,0,0,0.815399,0,0,0,0,0.093,6.08E+07,7.36E+07,6.00E+07,0.148,196,22968,18876,0.797301,0.790996,20295,18909,0.847651,0.744377
ICCAD2023_floorplanning_case2(1),0,1,1,2.33E+07,0.417,0,0,0.815399,0,0,0,0,0.098,6.08E+07,7.36E+07,6.00E+07,0.154,196,20295,17028,0.939594,0.743039,20408,18989,0.893477,0.792327
ICCAD2023_floorplanning_case2(1),0,1,1,3.35E+07,0.545,0,0,0.540526,0,0,0,0,0.274,6.75E+07,1.25E+08,6.75E+07,0.333,196,21582,18480,0.87215,0.795983,22935,18914,0.744847,0.739381
ICCAD2023_floorplanning_case2(1),0,1,1,1.84E+07,2.576,0,0,0.540526,0,0,0,0,0.246,6.75E+07,1.25E+08,6.75E+07,0.299,196,22087,17359,0.905943,0.794842,22638,17028,0.839493,0.740521
ICCAD2023_floorplanning_case2(1),0,1,1,1.84E+07,0.86,0,0,0.540526,0,0,0,0,0.039,6.75E+07,1.25E+08,6.75E+07,0.066,196,22087,17359,0.905943,0.794842,22638,17028,0.839493,0.740521
ICCAD2023_floorplanning_case2(1),0,1,2,4.27E+07,3.108,0,0,0.605782,0,0,0,0,2.449,5.50E+07,9.08E+07,5.50E+07,0.029,196,22935,16896,0.917771,0.813834,22275,17259,0.820178,0.721539
ICCAD2023_floorplanning_case2(1),0,1,4,3.67E+07,1.191,0,0,0.682207,0,0,0,0,0.605,4.99E+07,7.37E+07,5.03E+07,0.631,196,22143,17259,0.84651,0.740291,22633,18777,0.817572,0.795084
ICCAD2023_floorplanning_case2(1),0,1,5,2.65E+07,0.66,0,0,0.820925,0,0,0,0,0.011,5.64E+07,6.88E+07,5.64E+07,0.034,196,22011,18909,0.834358,0.794656,22089,18942,0.773634,0.740724
ICCAD2023_floorplanning_case2(1),0,1,6,2.70E+07,0.743,0,0,0.817186,0,0,0,0,0.009,5.64E+07,6.91E+07,5.64E+07,0.03,196,22968,17259,0.874339,0.793117,22968,18909,0.746858,0.742247
ICCAD2023_floorplanning_case2(1),0,1,7,2.21E+07,0.912,0,0,0.819259,0,0,0,0,0.06,5.41E+07,6.61E+07,5.41E+07,0.085,196,22176,18795,0.833989,0.795434,22064,17160,0.85404,0.739943
ICCAD2023_floorplanning_case2(1),0,1,8,1.84E+07,0.799,0,0,1.09536,0,0,0,0,0.009,8.19E+07,7.47E+07,8.18E+07,0.031,196,22935,17160,0.848939,0.764559,22704,17127,0.866251,0.770807
ICCAD2023_floorplanning_case2(1),0,1,9,1.63E+07,0.977,0,0,0.740555,0,0,0,0,0.012,4.91E+07,6.64E+07,4.91E+07,0.034,196,22671,17160,0.833649,0.742147,20401,18315,0.927722,0.793222
ICCAD2023_floorplanning_case2(1),0,1,10,2.57E+07,0.665,0,0,0.504947,0,0,0,0,0.003,3.87E+07,7.67E+07,3.87E+07,0.025,196,22968,17259,0.819132,0.743039,22968,17028,0.885318,0.792328
ICCAD2023_floorplanning_case_3,0,1,1,9.43E+07,300.218,0,0,0.280441,0,0,0,0,4.56,7.11E+08,2.52E+09,7.08E+08,15.386,15376,40293,41088,0.803717,0.79584,40328,39801,0.78257,0.75128
ICCAD2023_floorplanning_case_3,0,1,2,8.79E+07,300.237,0,0,0.237277,0,0,0,0,5.414,6.46E+08,2.72E+09,6.46E+08,16.399,15376,39006,41199,0.802338,0.771176,40379,40709,0.813162,0.799468
ICCAD2023_floorplanning_case_3,0,1,3,7.59E+07,300.226,0,0,0.154824,0,0,0,0,1.267,3.47E+08,2.24E+09,3.47E+08,12.165,15376,40293,41303,0.793737,0.790071,40035,40848,0.775363,0.758391
ICCAD2023_floorplanning_case_3,0,1,4,1.01E+08,300.229,0,0,0.332032,0,0,0,0,7.985,7.89E+08,2.38E+09,7.89E+08,18.823,15376,40233,41349,0.802814,0.798804,40090,40812,0.761032,0.74474
ICCAD2023_floorplanning_case_3,0,1,5,7.96E+07,300.203,0,0,0.183372,0,0,0,0,6.867,5.46E+08,2.98E+09,5.46E+08,17.657,15376,39144,40873,0.81656,0.78139,39264,40680,0.815453,0.779026
ICCAD2023_floorplanning_case_3,0,1,6,7.91E+07,300.22,0,0,0.134676,0,0,0,0,1.51,3.60E+08,2.67E+09,3.60E+08,12.3,15376,40405,39994,0.816758,0.789408,39264,41088,0.786958,0.759345
ICCAD2023_floorplanning_case_3,0,1,1,9.89E+07,100.215,0,0,0.280441,0,0,0,0,4.577,7.11E+08,2.52E+09,7.08E+08,15.287,15376,40392,41217,0.792091,0.788724,40328,41337,0.768186,0.765931
ICCAD2023_floorplanning_case_3,0,1,2,9.77E+07,100.205,0,0,0.237277,0,0,0,0,5.343,6.46E+08,2.72E+09,6.46E+08,16.038,15376,40326,41382,0.795699,0.794188,40331,40752,0.765402,0.752411
ICCAD2023_floorplanning_case_3,0,1,3,7.77E+07,100.213,0,0,0.154824,0,0,0,0,1.237,3.47E+08,2.24E+09,3.47E+08,11.854,15376,40307,41301,0.793535,0.790105,40035,40848,0.775289,0.75832
ICCAD2023_floorplanning_case_3,0,1,4,1.05E+08,100.21,0,0,0.332032,0,0,0,0,7.956,7.89E+08,2.38E+09,7.89E+08,18.803,15376,40365,41211,0.802867,0.798804,40138,40800,0.760346,0.744741
ICCAD2023_floorplanning_case_3,0,1,5,8.38E+07,100.215,0,0,0.183372,0,0,0,0,6.944,5.46E+08,2.98E+09,5.46E+08,17.809,15376,38643,41025,0.824082,0.78139,39307,40680,0.81456,0.779026
ICCAD2023_floorplanning_case_3,0,1,6,8.21E+07,100.213,0,0,0.134676,0,0,0,0,1.552,3.60E+08,2.67E+09,3.60E+08,12.372,15376,40405,40788,0.800538,0.789091,39264,41016,0.789178,0.760153
ICCAD2023_floorplanning_case_3,0,1,7,8.85E+07,100.211,0,0,0.180154,0,0,0,0,12.272,4.47E+08,2.48E+09,4.47E+08,23.057,15376,39850,41391,0.792439,0.781769,40224,41387,0.779266,0.775912
ICCAD2023_floorplanning_case_3,0,1,8,7.40E+07,100.189,0,0,0.135105,0,0,0,0,1.832,3.36E+08,2.48E+09,3.36E+08,12.548,15376,40260,41235,0.803072,0.797393,37536,41328,0.800324,0.742568
ICCAD2023_floorplanning_case_3,0,1,9,7.43E+07,100.189,0,0,0.179265,0,0,0,0,0.958,4.02E+08,2.24E+09,4.02E+08,11.679,15376,40387,40752,0.784183,0.771944,39888,41328,0.806461,0.795148
ICCAD2023_floorplanning_case_3,0,1,10,1.28E+08,100.187,0,0,0.338535,0,0,0,0,55.755,8.56E+08,2.53E+09,8.56E+08,66.454,15376,40286,41132,0.782537,0.775562,40416,40464,0.809317,0.791624
ICCAD2023_floorplanning_case_3,0,1,11,1.03E+08,100.202,0,0,0.27481,0,0,0,0,14.509,6.97E+08,2.54E+09,6.97E+08,25.22,15376,40208,41168,0.795507,0.787579,40272,40088,0.793292,0.766
ICCAD2023_floorplanning_case_3,0,1,12,9.76E+07,100.192,0,0,0.255564,0,0,0,0,3.589,6.03E+08,2.36E+09,6.03E+08,14.279,15376,39922,41389,0.801752,0.792346,39307,40992,0.783523,0.75509
ICCAD2023_floorplanning_case_3,0,1,13,7.41E+07,100.192,0,0,0.245807,0,0,0,0,1.162,6.38E+08,2.60E+09,6.38E+08,11.965,15376,40128,41373,0.798342,0.792741,39840,41376,0.76328,0.75254
ICCAD2023_floorplanning_case_3,0,1,14,1.04E+08,100.194,0,0,0.25031,0,0,0,0,2.013,6.78E+08,2.71E+09,6.78E+08,12.705,15376,40443,41288,0.800585,0.799563,39300,40405,0.78221,0.742898
