Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_3(1),0,1,1,1.80E+08,100.228,0,0,0.278486,0,0,0,0,6.357,6.40E+08,2.30E+09,6.40E+08,8.523,3720,40357,41107,0.799171,0.792962,38544,39792,0.821297,0.753409
ICCAD2023_floorplanning_case_3(1),0,1,2,1.98E+08,100.244,0,0,0.25223,0,0,0,0,1.332,6.03E+08,2.39E+09,6.03E+08,3.74,3720,39026,41287,0.802734,0.773601,39888,39648,0.83757,0.79225
ICCAD2023_floorplanning_case_3(1),0,1,3,1.99E+08,100.237,0,0,0.229136,0,0,0,0,2.353,5.08E+08,2.22E+09,5.08E+08,3.641,3720,40678,41347,0.783739,0.788412,39360,39168,0.82666,0.76224
ICCAD2023_floorplanning_case_4(1),0,1,1,5.14E+09,601.107,0,0,0.235371,0,0,0,0,159.591,1.24E+10,5.27E+10,1.24E+10,247.456,19560,75687,128719,0.783801,0.779806,75808,128583,0.749627,0.746209
ICCAD2023_floorplanning_case_4(1),0,1,2,5.18E+09,601.076,0,0,0.166912,0,0,0,0,147.598,1.20E+10,7.18E+10,1.20E+10,268.453,19560,75777,128733,0.781174,0.778201,75468,128478,0.756072,0.748638
ICCAD2023_floorplanning_case_4(1),0,1,3,5.33E+09,601.029,0,0,0.181137,0,0,0,0,176.104,1.18E+10,6.54E+10,1.18E+10,262.974,19560,75772,128929,0.777241,0.775411,76000,128751,0.753612,0.753058
ICCAD2023_floorplanning_case_4(1),0,1,4,5.06E+09,601.012,0,0,0.185966,0,0,0,0,124.364,1.23E+10,6.60E+10,1.23E+10,230.403,19560,75810,128766,0.759637,0.75727,75716,128697,0.785343,0.781506
ICCAD2023_floorplanning_case_3(1),0,1,1,1.00E+08,300.214,0,0,0.254263,0,0,0,0,1.465,4.93E+08,1.94E+09,4.93E+08,3.875,3720,39798,38775,0.83746,0.772956,40272,39360,0.83916,0.795575
ICCAD2023_floorplanning_case_3(1),0,1,2,1.24E+08,250.65,0,0,0.271914,0,0,0,0,4.795,6.94E+08,2.55E+09,6.94E+08,6.223,3720,39483,41300,0.801641,0.781841,39984,41172,0.79144,0.779263
ICCAD2023_floorplanning_case_3(1),0,1,3,1.70E+08,270.112,0,0,0.309792,0,0,0,0,1.039,5.34E+08,1.72E+09,5.34E+08,3.483,3720,40265,41315,0.801487,0.797461,39984,40848,0.761872,0.744247
ICCAD2023_floorplanning_case_3(1),0,1,4,1.45E+08,145.977,0,0,0.224719,0,0,0,0,0.905,5.72E+08,2.55E+09,5.72E+08,3.207,3720,40024,40557,0.804245,0.780823,39984,41184,0.790825,0.778885
ICCAD2023_floorplanning_case_3(1),0,1,5,1.09E+08,221.036,0,0,0.275585,0,0,0,0,1.993,6.41E+08,2.33E+09,6.41E+08,3.878,3720,39633,41328,0.809242,0.792789,40272,39130,0.803495,0.757311
ICCAD2023_floorplanning_case_2(1),0,1,1,1.83E+07,1.071,0,0,1.09533,0,0,0,0,0.519,8.81E+07,8.04E+07,8.81E+07,0.159,420,20659,17028,0.951343,0.765823,20501,17056,0.961759,0.769551
ICCAD2023_floorplanning_case_2(1),0,1,2,3.79E+07,6.99,0,0,0.77105,0,0,0,0,6.49,6.91E+07,8.96E+07,6.91E+07,0.049,420,21879,17358,0.860359,0.747696,22473,18909,0.810036,0.787684
ICCAD2023_floorplanning_case_2(1),0,1,3,1.95E+07,0.461,0,0,0.374812,0,0,0,0,0.004,2.99E+07,7.99E+07,2.99E+07,0.04,420,20540,18668,0.872034,0.765156,20825,18631,0.867507,0.770216
ICCAD2023_floorplanning_case_2(1),0,1,4,4.63E+07,0.605,0,0,0.760691,0,0,0,0,0.015,5.32E+07,6.99E+07,5.32E+07,0.052,420,21648,17358,0.894782,0.769402,22044,17028,0.891746,0.765974
ICCAD2023_floorplanning_case_2(1),0,1,5,1.58E+07,0.828,0,0,0.523004,0,0,0,0,0.21,4.71E+07,8.45E+07,4.42E+07,0.251,420,20295,17127,0.938241,0.746283,20786,17028,0.974266,0.789097
ICCAD2023_floorplanning_case_2(1),0,1,6,1.96E+07,0.575,0,0,0.758784,0,0,0,0,0.005,6.36E+07,7.89E+07,5.99E+07,0.045,420,22110,17028,0.91669,0.789757,20295,17028,0.942853,0.745616
ICCAD2023_floorplanning_case_2(1),0,1,7,2.98E+07,0.535,0,0,0.544962,0,0,0,0,0.022,4.61E+07,8.45E+07,4.61E+07,0.062,420,22671,17259,0.879266,0.787273,21945,17127,0.869815,0.748105
ICCAD2023_floorplanning_case_2(1),0,1,8,2.56E+07,6.462,0,0,0.542575,0,0,0,0,5.95,5.20E+07,9.58E+07,5.20E+07,5.987,420,22473,17442,0.855288,0.767164,22473,17259,0.865532,0.768207
ICCAD2023_floorplanning_case_2(1),0,1,9,2.14E+07,0.443,0,0,0.335472,0,0,0,0,0.016,2.48E+07,7.40E+07,2.48E+07,0.041,420,20295,17267,0.933044,0.748215,22996,17556,0.85204,0.787148
ICCAD2023_floorplanning_case_2(1),0,1,10,1.74E+07,0.824,0,0,0.818681,0,0,0,0,0.228,6.75E+07,8.22E+07,6.73E+07,0.04,420,20031,18909,0.915197,0.79324,20064,17276,0.935633,0.742138
ICCAD2023_floorplanning_case_2(1),0,1,11,1.79E+07,0.612,0,0,1.01596,0,0,0,0,0.041,7.82E+07,7.69E+07,7.82E+07,0.065,420,22638,17028,0.838101,0.739293,20427,18273,0.932021,0.796084
ICCAD2023_floorplanning_case_2(1),0,1,12,3.47E+07,2.023,0,0,0.88756,0,0,0,0,1.533,7.39E+07,8.33E+07,7.39E+07,1.561,420,22110,18635,0.784119,0.739296,22704,17127,0.894657,0.796084
ICCAD2023_floorplanning_case_2(1),0,1,13,2.71E+07,0.521,0,0,0.789358,0,0,0,0,0.012,6.13E+07,7.76E+07,6.13E+07,0.051,420,19932,17358,0.941126,0.745104,21615,18843,0.847915,0.790272
ICCAD2023_floorplanning_case_2(1),0,1,14,2.00E+07,0.545,0,0,0.365281,0,0,0,0,0.003,2.56E+07,7.09E+07,2.59E+07,0.04,420,21023,18066,0.911215,0.791947,21615,17459,0.860888,0.74343
ICCAD2023_floorplanning_case_2(1),0,1,15,2.01E+07,0.477,0,0,0.524437,0,0,0,0,0.006,4.33E+07,8.25E+07,4.33E+07,0.046,420,22011,17028,0.86575,0.742531,22671,17358,0.880436,0.792842
ICCAD2023_floorplanning_case_2(1),0,1,16,2.62E+07,0.733,0,0,0.845131,0,0,0,0,0.039,7.21E+07,8.50E+07,7.19E+07,0.062,420,22869,18909,0.751809,0.743947,22671,17886,0.852924,0.791431
ICCAD2023_floorplanning_case_2(1),0,1,17,1.91E+07,0.52,0,0,0.554631,0,0,0,0,0.051,4.31E+07,8.94E+07,4.96E+07,0.09,420,22407,17127,0.851882,0.748106,22671,17160,0.884338,0.787272
ICCAD2023_floorplanning_case_2(1),0,1,18,3.08E+07,0.537,0,0,0.384953,0,0,0,0,0.005,3.51E+07,9.12E+07,3.51E+07,0.044,420,22473,17847,0.861738,0.790897,21681,17259,0.869433,0.744474
ICCAD2023_floorplanning_case_2(1),0,1,19,1.83E+07,0.629,0,0,0.591994,0,0,0,0,0.018,5.01E+07,8.43E+07,4.99E+07,0.059,420,21084,17359,0.915154,0.766461,20728,17728,0.914415,0.768916
ICCAD2023_floorplanning_case_2(1),0,1,20,2.70E+07,0.63,0,0,0.709954,0,0,0,0,0.086,5.84E+07,8.22E+07,5.84E+07,0.11,420,22996,18942,0.790951,0.7884,22968,18975,0.749,0.746973
ICCAD2023_floorplanning_case_3(1),0,1,1,1.05E+08,100.214,0,0,0.254263,0,0,0,0,1.414,4.93E+08,1.94E+09,4.93E+08,3.793,3720,39798,40076,0.81441,0.776903,39384,39360,0.849222,0.787362
ICCAD2023_floorplanning_case_3(1),0,1,2,1.54E+08,100.211,0,0,0.271914,0,0,0,0,48.661,6.94E+08,2.55E+09,6.94E+08,6.202,3720,40028,40966,0.809131,0.793568,38016,41328,0.803265,0.754828
ICCAD2023_floorplanning_case_3(1),0,1,3,1.72E+08,100.214,0,0,0.309792,0,0,0,0,1.013,5.34E+08,1.72E+09,5.34E+08,3.498,3720,40364,41248,0.800818,0.79746,39984,40848,0.761872,0.744247
ICCAD2023_floorplanning_case_3(1),0,1,4,1.54E+08,100.22,0,0,0.224719,0,0,0,0,8.262,5.72E+08,2.55E+09,5.72E+08,3.49,3720,40309,40925,0.798903,0.788248,40032,40953,0.778579,0.763437
ICCAD2023_floorplanning_case_3(1),0,1,5,1.14E+08,100.223,0,0,0.275585,0,0,0,0,2.13,6.41E+08,2.33E+09,6.41E+08,3.932,3720,40161,40841,0.795762,0.78066,39696,38897,0.84611,0.78139
ICCAD2023_floorplanning_case_3(1),0,1,6,1.44E+08,100.223,0,0,0.377089,0,0,0,0,1.999,7.57E+08,2.01E+09,7.57E+08,4.087,3720,39798,41369,0.80893,0.796573,39901,41048,0.764853,0.749259
ICCAD2023_floorplanning_case_3(1),0,1,7,1.38E+08,100.229,0,0,0.271747,0,0,0,0,1.838,6.29E+08,2.32E+09,6.29E+08,4.021,3720,40134,41363,0.790779,0.785159,39216,40773,0.805189,0.770037
ICCAD2023_floorplanning_case_3(1),0,1,8,1.11E+08,100.198,0,0,0.309762,0,0,0,0,2.969,6.76E+08,2.18E+09,6.76E+08,5.328,3720,40089,40997,0.805107,0.791423,39901,40479,0.784807,0.758148
ICCAD2023_floorplanning_case_3(1),0,1,9,1.72E+08,100.195,0,0,0.317681,0,0,0,0,3.601,6.99E+08,2.20E+09,6.99E+08,3.293,3720,40268,41349,0.790561,0.787297,39696,40858,0.789031,0.765413
ICCAD2023_floorplanning_case_3(1),0,1,10,2.51E+08,100.198,0,0,0.188475,0,0,0,0,86.69,5.68E+08,3.02E+09,5.68E+08,3.168,3720,40211,40946,0.795848,0.783727,39888,40896,0.791869,0.772599
