Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case2(1),0,1,3,6.43E+06,0.43,0,0,0.116351,0,0,0,0,0,4.65E+07,7.05E+07,3.07E+07,0.03,196,22968,17358,0.986539,0.900027,22209,16052,0.778815,0.635347
ICCAD2023_floorplanning_case2(1),0,1,4,5.68E+06,0.274,0,0,0.125232,0,0,0,0,0.001,4.65E+07,5.69E+07,8.20E+06,0.065,196,22645,18783,0.65845,0.640883,22968,17259,0.986088,0.894485
ICCAD2023_floorplanning_case2(1),0,1,5,5.55E+06,0.218,0,0,0.107169,0,0,0,0,0,4.65E+07,7.81E+07,3.95E+07,0.047,196,22935,17160,0.993204,0.894485,20295,18846,0.732248,0.640892
ICCAD2023_floorplanning_case2(1),0,1,6,1.84E+07,0.151,0,0,0.388824,0,0,0,0,0.001,4.65E+07,6.01E+07,2.38E+07,0.035,196,22935,17028,0.803979,0.718499,22671,17358,0.90713,0.816881
ICCAD2023_floorplanning_case2(1),0,1,7,6.10E+06,0.148,0,0,0.168634,0,0,0,0,0.002,4.65E+07,4.98E+07,1.15E+07,0.03,196,22935,17160,0.992208,0.893588,22810,17909,0.686554,0.641785
ICCAD2023_floorplanning_case2(1),0,1,4,5.68E+06,0.341,0,0,0.125232,0,0,0,0,0.001,4.65E+07,5.69E+07,8.20E+06,0.093,196,22645,18783,0.65845,0.640883,22968,17259,0.986088,0.894485
ICCAD2023_floorplanning_case2(1),0,1,5,5.55E+06,0.212,0,0,0.107169,0,0,0,0,0,4.65E+07,7.81E+07,3.95E+07,0.046,196,22935,17160,0.993204,0.894485,20295,18846,0.732248,0.640892
ICCAD2023_floorplanning_case2(1),0,1,6,1.84E+07,0.151,0,0,0.388824,0,0,0,0,0.001,4.65E+07,6.01E+07,2.38E+07,0.037,196,22935,17028,0.803979,0.718499,22671,17358,0.90713,0.816881
ICCAD2023_floorplanning_case2(1),0,1,7,6.10E+06,0.142,0,0,0.168634,0,0,0,0,0.002,4.65E+07,4.98E+07,1.15E+07,0.028,196,22935,17160,0.992208,0.893588,22810,17909,0.686554,0.641785
ICCAD2023_floorplanning_case2(1),0,1,9,6.83E+06,0.124,0,0,0.113018,0,0,0,0,0.002,4.65E+07,6.78E+07,9.29E+06,0.026,196,20077,18348,0.760286,0.640889,22935,17160,0.993204,0.894485
ICCAD2023_floorplanning_case2(1),0,1,11,5.67E+06,0.408,0,0,0.106343,0,0,0,0,0.002,4.65E+07,7.45E+07,2.94E+07,0.088,196,20731,17914,0.754142,0.640891,22935,17259,0.987507,0.894485
ICCAD2023_floorplanning_case2(1),0,1,13,5.78E+06,0.561,0,0,0.113803,0,0,0,0,0.007,4.65E+07,6.67E+07,1.15E+07,0.125,196,22959,18310,0.667165,0.64179,22935,17160,0.992208,0.893588
ICCAD2023_floorplanning_case2(1),0,1,14,7.92E+06,0.443,0,0,0.852736,0,0,0,0,0.001,4.65E+07,6.33E+07,2.22E+07,0.085,196,22757,18960,0.874179,0.863122,22935,17127,0.74788,0.672249
ICCAD2023_floorplanning_case2(1),0,1,15,5.75E+06,0.329,0,0,0.120854,0,0,0,0,0.001,4.65E+07,6.14E+07,1.95E+07,0.052,196,22968,17358,0.986539,0.900027,18777,17160,0.861686,0.635347
ICCAD2023_floorplanning_case2(1),0,1,17,2.08E+07,0.465,0,0,0.7219,0,0,0,0,0.002,4.65E+07,9.68E+07,2.08E+07,0.029,196,22229,17259,0.818506,0.718582,22968,17228,0.902053,0.816787
ICCAD2023_floorplanning_case2(1),0,1,18,5.99E+06,0.36,0,0,1.27967,0,0,0,0,0.002,4.65E+07,3.94E+07,3.10E+07,0.057,196,22968,17127,0.996268,0.896808,22143,18216,0.691831,0.638569
